깨진입력,정답후보id,왜곡강도,적용한변형
2펀,TX:102,약,자음치환
두버째,TX:102,약,받침탈락
여희,CP:2,약,받침탈락
전기요그,TX:102,약,받침탈락
한천,TX:102,약,자음치환
삼싶만,TX:101,약,자음치환
투 번째,TX:102,약,자음치환
하눅전력공사,TX:102,약,연음화
음 셋째,TX:103,약,군더더기
오리 아들,CP:1|TX:101,약,모음혼동
3버,TX:103,약,받침탈락
아드님 기멀수 님,TX:101,약,연음화
천기세,TX:102,약,자음치환
세 버내,TX:103,약,연음화
아틀,CP:1|TX:101,약,자음치환
음 보내기,INTENT:REQUEST_TRANSFER,약,군더더기
그 하나,TX:101,약,군더더기
세버째,TX:103,약,받침탈락
바긴수,CP:3,약,연음화
청리,INTENT:GO_COUNTER,약,자음치환
크나들,CP:1|TX:101,약,연음화
일펀,TX:101,약,자음치환
뭐야 그,INTENT:ASK_ABOUT_TX,약,군더더기
창고,INTENT:GO_COUNTER,약,모음혼동
처루,CP:1|TX:101,약,연음화
타른,INTENT:ASK_UNSUPPORTED,약,자음치환
무러보기,INTENT:ASK_ABOUT_TX|INTENT:ASK_UNSUPPORTED,약,연음화
손차,CP:3,약,자음치환
만 고천,TX:103,약,모음혼동
젓 번째,TX:101,약,자음치환
한국전렼,TX:102,약,자음치환
모슨 돈,INTENT:ASK_ABOUT_TX,약,모음혼동
오리 딸,CP:2,약,모음혼동
소음,INTENT:REQUEST_TRANSFER,약,연음화
젓째,TX:101,약,자음치환
미누,CP:3,약,연음화
첫펀째,TX:101,약,자음치환
사만 이처,TX:102,약,받침탈락
1버,TX:101,약,받침탈락
이체 그,INTENT:REQUEST_TRANSFER,약,군더더기
대한저보통신,TX:103,약,받침탈락
전려,TX:102,약,받침탈락
두째,TX:102,약,받침탈락
기명희,CP:2,약,연음화
킴철수,CP:1|TX:101,약,자음치환
2버,TX:102,약,받침탈락
두버내,TX:102,약,연음화
여의,CP:2,약,연음화
그거 전기요금,TX:102,약,군더더기
한저,TX:102,약,받침탈락
두 펀째,TX:102,약,자음치환
저기 한국전력공사,TX:102,약,군더더기
세새,TX:103,약,연음화
우리 아틀,CP:1|TX:101,약,자음치환
3펀,TX:103,약,자음치환
아드님 김처루 님,TX:101,약,연음화
그 바,INTENT:ASK_UNSUPPORTED,약,받침탈락
세 펀째,TX:103,약,자음치환
보내기 그거,INTENT:REQUEST_TRANSFER,약,군더더기
저 하나,TX:101,약,군더더기
2버 어,TX:102,중,"받침탈락,군더더기"
투버내,TX:102,중,"연음화,자음치환"
이제 여의,CP:2,중,"연음화,군더더기"
저기요그,TX:102,중,"받침탈락,받침탈락"
하너,TX:102,중,"연음화,받침탈락"
삼싶마,TX:101,중,"받침탈락,자음치환"
도번째,TX:102,중,"띄어쓰기,모음혼동"
저기 하눅전력공사,TX:102,중,"연음화,군더더기"
세새 음,TX:103,중,"군더더기,연음화"
우리 아들 이재,CP:1|TX:101,중,"군더더기,모음혼동"
3퍼,TX:103,중,"자음치환,받침탈락"
아드님 기멀소 님,TX:101,중,"연음화,모음혼동"
크밖,INTENT:ASK_UNSUPPORTED,중,"띄어쓰기,자음치환"
천기새,TX:102,중,"모음혼동,자음치환"
세 퍼째,TX:103,중,"자음치환,받침탈락"
아드 그,CP:1|TX:101,중,"받침탈락,군더더기"
포네기,INTENT:REQUEST_TRANSFER,중,"모음혼동,자음치환"
어하나,TX:101,중,"군더더기,띄어쓰기"
세버쩨,TX:103,중,"받침탈락,모음혼동"
팤민수,CP:3,중,"자음치환,자음치환"
저이 그,INTENT:GO_COUNTER,중,"연음화,군더더기"
크나드,CP:1|TX:101,중,"받침탈락,연음화"
이버,TX:101,중,"받침탈락,받침탈락"
뭐야어,INTENT:ASK_ABOUT_TX,중,"군더더기,띄어쓰기"
장쿠,INTENT:GO_COUNTER,중,"자음치환,자음치환"
처로,CP:1|TX:101,중,"모음혼동,연음화"
타르,INTENT:ASK_UNSUPPORTED,중,"자음치환,받침탈락"
물어부키,INTENT:ASK_ABOUT_TX|INTENT:ASK_UNSUPPORTED,중,"모음혼동,자음치환"
어 천력공사,TX:102,중,"군더더기,자음치환"
소차,CP:3,중,"자음치환,받침탈락"
만구처,TX:103,중,"받침탈락,띄어쓰기"
처 버내,TX:101,중,"연음화,받침탈락"
한쿠전력,TX:102,중,"받침탈락,자음치환"
무스 둔,INTENT:ASK_ABOUT_TX,중,"받침탈락,모음혼동"
오리 따,CP:2,중,"받침탈락,모음혼동"
소그,INTENT:REQUEST_TRANSFER,중,"받침탈락,받침탈락"
처세,TX:101,중,"연음화,모음혼동"
정보동시,TX:103,중,"자음치환,받침탈락"
미노,CP:3,중,"연음화,모음혼동"
첫펀쩨,TX:101,중,"자음치환,모음혼동"
사만 이저,TX:102,중,"받침탈락,자음치환"
1버 저기,TX:101,중,"받침탈락,군더더기"
이채 저기,INTENT:REQUEST_TRANSFER,중,"모음혼동,군더더기"
데한정보퉁신,TX:103,중,"모음혼동,모음혼동"
천렼,TX:102,중,"자음치환,자음치환"
도째,TX:102,중,"받침탈락,모음혼동"
김 여희,CP:2,중,"받침탈락,띄어쓰기"
김처로,CP:1|TX:101,중,"모음혼동,연음화"
2퍼,TX:102,중,"받침탈락,자음치환"
두펀쩨,TX:102,중,"자음치환,모음혼동"
어 여희,CP:2,중,"군더더기,받침탈락"
저니요그,TX:102,중,"받침탈락,연음화"
삼시바,TX:101,중,"받침탈락,연음화"
도 버째,TX:102,중,"받침탈락,모음혼동"
한궄전력궁사,TX:102,중,"모음혼동,자음치환"
저기 세째,TX:103,중,"받침탈락,군더더기"
우리아틀,CP:1|TX:101,중,"띄어쓰기,자음치환"
3버 저기,TX:103,중,"받침탈락,군더더기"
아드님 기처루 님,TX:101,중,"받침탈락,연음화"
그 바 저,INTENT:ASK_UNSUPPORTED,중,"군더더기,받침탈락"
2퍼어,TX:102,강,"받침탈락,자음치환,군더더기,띄어쓰기"
토퍼째,TX:102,강,"자음치환,자음치환,모음혼동,받침탈락"
여의처,CP:2,강,"연음화,군더더기,자음치환,띄어쓰기"
저기저니요그,TX:102,강,"군더더기,띄어쓰기,연음화,받침탈락"
하너 으,TX:102,강,"받침탈락,연음화,군더더기,받침탈락"
사시 마,TX:101,강,"받침탈락,받침탈락,받침탈락,띄어쓰기"
도퍼째,TX:102,강,"받침탈락,모음혼동,띄어쓰기,자음치환"
한국 전려고사,TX:102,강,"띄어쓰기,받침탈락,받침탈락"
새쩨,TX:103,강,"받침탈락,모음혼동,모음혼동"
어 오리 아트,CP:1|TX:101,강,"군더더기,받침탈락,모음혼동,자음치환"
3펀 으,TX:103,강,"자음치환,군더더기,받침탈락"
아트님 킴처로 님,TX:101,강,"연음화,모음혼동,자음치환,자음치환"
이재 크 팎,INTENT:ASK_UNSUPPORTED,강,"자음치환,자음치환,군더더기,모음혼동"
천 기새,TX:102,강,"모음혼동,자음치환,띄어쓰기"
세펀쩨,TX:103,강,"자음치환,모음혼동,띄어쓰기"
그거 아드,CP:1|TX:101,강,"받침탈락,자음치환,군더더기,자음치환"
푸네키,INTENT:REQUEST_TRANSFER,강,"모음혼동,자음치환,모음혼동,자음치환"
세 퍼째,TX:103,강,"자음치환,받침탈락,띄어쓰기"
팤 민소,CP:3,강,"자음치환,모음혼동,자음치환,띄어쓰기"
그 아틀,CP:1|TX:101,강,"띄어쓰기,자음치환,받침탈락,자음치환"
저 이러,TX:101,강,"연음화,받침탈락,군더더기"
이채뭐야,INTENT:ASK_ABOUT_TX,강,"군더더기,모음혼동,자음치환,띄어쓰기"
자코,INTENT:GO_COUNTER,강,"받침탈락,모음혼동,자음치환,자음치환"
저소 저기,CP:1|TX:101,강,"받침탈락,모음혼동,자음치환,군더더기"
타르 그거,INTENT:ASK_UNSUPPORTED,강,"받침탈락,자음치환,군더더기"
무 러포기,INTENT:ASK_ABOUT_TX|INTENT:ASK_UNSUPPORTED,강,"자음치환,연음화,띄어쓰기"
저력쿵사 어,TX:102,강,"군더더기,모음혼동,받침탈락,자음치환"
소차 크,CP:3,강,"자음치환,군더더기,받침탈락,자음치환"
만고저,TX:103,강,"받침탈락,모음혼동,자음치환,띄어쓰기"
젓 펀째 저,TX:101,강,"군더더기,자음치환,자음치환"
